Mass,Position,Velocity,Acceleration
25735.0,"[-5068.954394395572, 4141.584541980478, 0.0]","[-7.142447206990879, -1.126738685840084, 0.0]","[0.007209854215144979, -0.005900695949246831, 0.0]"
25735.0,"[-5076.0968416025635, 4140.457803294638, 0.0]","[-7.135243124027059, -1.1326247493606658, 0.0]","[0.007204082963820113, -0.005886063520581848, 0.0]"
25735.0,"[-5083.232084726591, 4139.325178545278, 0.0]","[-7.128044804431974, -1.13849623062219, 0.0]","[0.007198319595084217, -0.005871481261524098, 0.0]"
25735.0,"[-5090.360129531023, 4138.186682314656, 0.0]","[-7.120852240308742, -1.1443531795612594, 0.0]","[0.007192564123232738, -0.005856948939069349, 0.0]"
25735.0,"[-5097.480981771331, 4137.042329135094, 0.0]","[-7.113665423746521, -1.1501956458827982, 0.0]","[0.007186816562221532, -0.005842466321538938, 0.0]"
25735.0,"[-5104.594647195077, 4135.892133489212, 0.0]","[-7.106484346820849, -1.1560236790613692, 0.0]","[0.007181076925670879, -0.005828033178570899, 0.0]"
25735.0,"[-5111.701131541899, 4134.736109810151, 0.0]","[-7.09930900159398, -1.1618373283424803, 0.0]","[0.007175345226869515, -0.005813649281111166, 0.0]"
25735.0,"[-5118.800440543492, 4133.574272481808, 0.0]","[-7.092139380115201, -1.1676366427438851, 0.0]","[0.007169621478778593, -0.005799314401404849, 0.0]"
25735.0,"[-5125.892579923608, 4132.406635839065, 0.0]","[-7.0849754744211655, -1.1734216710568728, 0.0]","[0.007163905694035626, -0.005785028312987577, 0.0]"
25735.0,"[-5132.977555398029, 4131.233214168008, 0.0]","[-7.077817276536207, -1.1791924618475498, 0.0]","[0.007158197884958334, -0.005770790790676897, 0.0]"
25735.0,"[-5140.055372674565, 4130.054021706161, 0.0]","[-7.070664778472659, -1.1849490634581135, 0.0]","[0.007152498063548503, -0.005756601610563742, 0.0]"
25735.0,"[-5147.1260374530375, 4128.869072642703, 0.0]","[-7.063517972231163, -1.1906915240081175, 0.0]","[0.007146806241495766, -0.005742460550003972, 0.0]"
25735.0,"[-5154.189555425269, 4127.678381118695, 0.0]","[-7.056376849800982, -1.1964198913957274, 0.0]","[0.007141122430181337, -0.005728367387609949, 0.0]"
25735.0,"[-5161.24593227507, 4126.4819612272995, 0.0]","[-7.0492414031603, -1.2021342132989696, 0.0]","[0.0071354466406817595, -0.005714321903242235, 0.0]"
25735.0,"[-5168.295173678231, 4125.279827014, 0.0]","[-7.042111624276528, -1.207834537176971, 0.0]","[0.0071297788837725124, -0.005700323878001273, 0.0]"
25735.0,"[-5175.337285302508, 4124.071992476823, 0.0]","[-7.034987505106596, -1.2135209102711901, 0.0]","[0.00712411916993168, -0.0056863730942192, 0.0]"
25735.0,"[-5182.3722728076145, 4122.858471566552, 0.0]","[-7.027869037597252, -1.2191933796066419, 0.0]","[0.0071184675093435065, -0.005672469335451687, 0.0]"
25735.0,"[-5189.400141845212, 4121.639278186945, 0.0]","[-7.020756213685351, -1.2248519919931118, 0.0]","[0.007112823911901938, -0.0056586123864698435, 0.0]"
25735.0,"[-5196.420898058897, 4120.414426194952, 0.0]","[-7.013649025298137, -1.230496794026364, 0.0]","[0.007107188387214148, -0.0056448020332521935, 0.0]"
25735.0,"[-5203.434547084195, 4119.183929400926, 0.0]","[-7.006547464353533, -1.2361278320893407, 0.0]","[0.007101560944603964, -0.005631038062976692, 0.0]"
25735.0,"[-5210.441094548549, 4117.947801568836, 0.0]","[-6.999451522760418, -1.2417451523533536, 0.0]","[0.007095941593115314, -0.005617320264012828, 0.0]"
25735.0,"[-5217.44054607131, 4116.706056416483, 0.0]","[-6.992361192418902, -1.2473488007792672, 0.0]","[0.007090330341515594, -0.00560364842591376, 0.0]"
25735.0,"[-5224.432907263728, 4115.458707615704, 0.0]","[-6.985276465220603, -1.2529388231186758, 0.0]","[0.007084727198299033, -0.00559002233940854, 0.0]"
25735.0,"[-5231.418183728949, 4114.205768792585, 0.0]","[-6.9781973330489135, -1.2585152649150702, 0.0]","[0.007079132171689983, -0.005576441796394358, 0.0]"
25735.0,"[-5238.396381061998, 4112.94725352767, 0.0]","[-6.971123787779267, -1.2640781715049991, 0.0]","[0.00707354526964619, -0.005562906589928874, 0.0]"
25735.0,"[-5245.367504849777, 4111.683175356165, 0.0]","[-6.9640558212794055, -1.2696275880192218, 0.0]","[0.007067966499862044, -0.005549416514222607, 0.0]"
25735.0,"[-5252.331560671057, 4110.413547768146, 0.0]","[-6.9569934254096335, -1.2751635593838533, 0.0]","[0.007062395869771762, -0.005535971364631356, 0.0]"
25735.0,"[-5259.288554096466, 4109.138384208762, 0.0]","[-6.949936592023081, -1.280686130321502, 0.0]","[0.007056833386552542, -0.005522570937648698, 0.0]"
25735.0,"[-5266.238490688489, 4107.85769807844, 0.0]","[-6.942885312965954, -1.2861953453524007, 0.0]","[0.007051279057127716, -0.005509215030898553, 0.0]"
25735.0,"[-5273.181376001455, 4106.571502733088, 0.0]","[-6.935839580077785, -1.2916912487955283, 0.0]","[0.007045732888169811, -0.0054959034431277635, 0.0]"
25735.0,"[-5280.117215581533, 4105.279811484293, 0.0]","[-6.928799385191681, -1.2971738847697272, 0.0]","[0.0070401948861036215, -0.005482635974198768, 0.0]"
25735.0,"[-5287.046014966724, 4103.982637599523, 0.0]","[-6.921764720134572, -1.3026432971948094, 0.0]","[0.007034665057109228, -0.005469412425082314, 0.0]"
25735.0,"[-5293.967779686859, 4102.679994302328, 0.0]","[-6.914735576727447, -1.3080995297926596, 0.0]","[0.007029143407124979, -0.005456232597850227, 0.0]"
25735.0,"[-5300.882515263586, 4101.371894772536, 0.0]","[-6.907711946785597, -1.3135426260883278, 0.0]","[0.007023629941850454, -0.005443096295668226, 0.0]"
25735.0,"[-5307.790227210372, 4100.058352146447, 0.0]","[-6.900693822118848, -1.3189726294111166, 0.0]","[0.007018124666749373, -0.005430003322788809, 0.0]"
