Mass,Position,Velocity,Acceleration
25735.0,"[-7090.2758114041, 3505.6725441820204, 0.0]","[-5.001886304739765, -2.5062395103396335, 0.0]","[0.005714671407306996, -0.002829527813503111, 0.0]"
25735.0,"[-7095.27769770884, 3503.166304671681, 0.0]","[-4.996174918393535, -2.509063397811493, 0.0]","[0.005711386346229838, -0.0028238874718594115, 0.0]"
25735.0,"[-7100.273872627233, 3500.657241273869, 0.0]","[-4.990466811192271, -2.5118816581358634, 0.0]","[0.005708107201263829, -0.0028182603243706774, 0.0]"
25735.0,"[-7105.264339438425, 3498.1453596157335, 0.0]","[-4.984761977229673, -2.514694304461478, 0.0]","[0.005704833962598327, -0.0028126463256145035, 0.0]"
25735.0,"[-7110.249101415655, 3495.630665311272, 0.0]","[-4.979060410609238, -2.5175013498918353, 0.0]","[0.005701566620435512, -0.0028070454303575475, 0.0]"
25735.0,"[-7115.228161826264, 3493.11316396138, 0.0]","[-4.973362105444247, -2.5203028074853897, 0.0]","[0.005698305164990464, -0.002801457593554588, 0.0]"
25735.0,"[-7120.201523931708, 3490.592861153895, 0.0]","[-4.967667055857755, -2.523098690255737, 0.0]","[0.0056950495864912356, -0.0027958827703475748, 0.0]"
25735.0,"[-7125.169190987565, 3488.069762463639, 0.0]","[-4.961975255982576, -2.525889011171802, 0.0]","[0.005691799875178906, -0.002790320916064693, 0.0]"
25735.0,"[-7130.131166243548, 3485.5438734524673, 0.0]","[-4.956286699961269, -2.5286737831580215, 0.0]","[0.0056885560213076735, -0.002784771986219427, 0.0]"
25735.0,"[-7135.08745294351, 3483.0151996693094, 0.0]","[-4.950601381946124, -2.5314530190945312, 0.0]","[0.005685318015144902, -0.0027792359365096317, 0.0]"
25735.0,"[-7140.038054325456, 3480.483746650215, 0.0]","[-4.944919296099153, -2.534226731817348, 0.0]","[0.005682085846971201, -0.002773712722816617, 0.0]"
25735.0,"[-7144.982973621555, 3477.9495199183975, 0.0]","[-4.939240436592073, -2.5369949341185523, 0.0]","[0.005678859507080487, -0.0027682023012042174, 0.0]"
25735.0,"[-7149.922214058147, 3475.412524984279, 0.0]","[-4.933564797606293, -2.53975763874647, 0.0]","[0.005675638985780045, -0.00276270462791789, 0.0]"
25735.0,"[-7154.855778855753, 3472.872767345533, 0.0]","[-4.927892373332902, -2.542514858405854, 0.0]","[0.005672424273390594, -0.0027572196593838062, 0.0]"
25735.0,"[-7159.7836712290855, 3470.330252487127, 0.0]","[-4.922223157972656, -2.545266605758062, 0.0]","[0.005669215360246349, -0.002751747352207943, 0.0]"
25735.0,"[-7164.705894387058, 3467.784985881369, 0.0]","[-4.916557145735961, -2.5480128934212374, 0.0]","[0.005666012236695086, -0.0027462876631751945, 0.0]"
25735.0,"[-7169.622451532794, 3465.2369729879474, 0.0]","[-4.910894330842863, -2.550753733970486, 0.0]","[0.005662814893098191, -0.002740840549248476, 0.0]"
25735.0,"[-7174.533345863637, 3462.686219253977, 0.0]","[-4.905234707523032, -2.553489139938054, 0.0]","[0.0056596233198307365, -0.0027354059675678403, 0.0]"
25735.0,"[-7179.43858057116, 3460.132730114039, 0.0]","[-4.899578270015751, -2.5562191238135035, 0.0]","[0.005656437507281519, -0.002729983875449591, 0.0]"
25735.0,"[-7184.338158841176, 3457.5765109902254, 0.0]","[-4.893925012569898, -2.558943698043889, 0.0]","[0.005653257445853133, -0.002724574230385414, 0.0]"
25735.0,"[-7189.232083853745, 3455.0175672921814, 0.0]","[-4.888274929443936, -2.5616628750339308, 0.0]","[0.005650083125962019, -0.0027191769900415026, 0.0]"
25735.0,"[-7194.12035878319, 3452.4559044171474, 0.0]","[-4.882628014905897, -2.5643766671461883, 0.0]","[0.00564691453803852, -0.0027137921122576875, 0.0]"
25735.0,"[-7199.002986798096, 3449.8915277500014, 0.0]","[-4.87698426323337, -2.5670850867012347, 0.0]","[0.005643751672526931, -0.002708419555046579, 0.0]"
25735.0,"[-7203.879971061329, 3447.3244426633, 0.0]","[-4.871343668713485, -2.5697881459778276, 0.0]","[0.0056405945198855665, -0.002703059276592717, 0.0]"
25735.0,"[-7208.751314730042, 3444.7546545173223, 0.0]","[-4.8657062256428985, -2.572485857213079, 0.0]","[0.005637443070586794, -0.0026977112352517063, 0.0]"
25735.0,"[-7213.617020955685, 3442.1821686601093, 0.0]","[-4.860071928327781, -2.5751782326026285, 0.0]","[0.0056342973151171, -0.002692375389549382, 0.0]"
25735.0,"[-7218.477092884013, 3439.606990427507, 0.0]","[-4.854440771083804, -2.5778652843008096, 0.0]","[0.0056311572439771305, -0.002687051698180959, 0.0]"
25735.0,"[-7223.331533655097, 3437.029125143206, 0.0]","[-4.8488127482361225, -2.5805470244208197, 0.0]","[0.005628022847681742, -0.002681740120010199, 0.0]"
25735.0,"[-7228.180346403333, 3434.448578118785, 0.0]","[-4.843187854119362, -2.583223465034888, 0.0]","[0.005624894116760064, -0.002676440614068581, 0.0]"
25735.0,"[-7233.023534257452, 3431.8653546537503, 0.0]","[-4.837566083077607, -2.585894618174443, 0.0]","[0.005621771041755522, -0.002671153139554469, 0.0]"
25735.0,"[-7237.86110034053, 3429.279460035576, 0.0]","[-4.831947429464381, -2.5885604958302753, 0.0]","[0.0056186536132259044, -0.0026658776558322913, 0.0]"
25735.0,"[-7242.693047769994, 3426.6908995397457, 0.0]","[-4.826331887642637, -2.591221109952707, 0.0]","[0.0056155418217433955, -0.0026606141224317227, 0.0]"
25735.0,"[-7247.519379657637, 3424.099678429793, 0.0]","[-4.8207194519847425, -2.593876472451754, 0.0]","[0.005612435657894628, -0.002655362499046869, 0.0]"
25735.0,"[-7252.340099109621, 3421.505801957341, 0.0]","[-4.815110116872462, -2.5965265951972896, 0.0]","[0.005609335112280732, -0.0026501227455354623, 0.0]"
25735.0,"[-7257.155209226494, 3418.909275362144, 0.0]","[-4.809503876696945, -2.5991714900192076, 0.0]","[0.0056062401755173595, -0.0026448948219180523, 0.0]"
25735.0,"[-7261.964713103191, 3416.3101038721247, 0.0]","[-4.80390072585871, -2.601811168707585, 0.0]","[0.005603150838234742, -0.002639678688377207, 0.0]"
25735.0,"[-7266.768613829049, 3413.708292703417, 0.0]","[-4.798300658767632, -2.6044456430128418, 0.0]","[0.005600067091077738, -0.0026344743052567243, 0.0]"
25735.0,"[-7271.566914487817, 3411.1038470604044, 0.0]","[-4.7927036698429255, -2.6070749246459024, 0.0]","[0.005596988924705848, -0.0026292816330608293, 0.0]"
25735.0,"[-7276.3596181576595, 3408.4967721357584, 0.0]","[-4.787109753513132, -2.609699025278356, 0.0]","[0.005593916329793283, -0.0026241006324534007, 0.0]"
25735.0,"[-7281.146727911173, 3405.8870731104803, 0.0]","[-4.781518904216103, -2.612317956542613, 0.0]","[0.0055908492970289875, -0.0026189312642571805, 0.0]"
25735.0,"[-7285.928246815389, 3403.274755153938, 0.0]","[-4.775931116398986, -2.6149317300320662, 0.0]","[0.005587787817116674, -0.0026137734894529975, 0.0]"
25735.0,"[-7290.704177931788, 3400.659823423906, 0.0]","[-4.770346384518212, -2.6175403573012455, 0.0]","[0.005584731880774885, -0.002608627269179001, 0.0]"
25735.0,"[-7295.474524316306, 3398.042283066605, 0.0]","[-4.764764703039475, -2.6201438498659755, 0.0]","[0.005581681478736996, -0.002603492564729883, 0.0]"
25735.0,"[-7300.239289019346, 3395.4221392167387, 0.0]","[-4.7591860664377235, -2.6227422192035315, 0.0]","[0.005578636601751275, -0.0025983693375561177, 0.0]"
25735.0,"[-7304.998475085784, 3392.799396997535, 0.0]","[-4.753610469197143, -2.6253354767527948, 0.0]","[0.005575597240580909, -0.0025932575492632073, 0.0]"
25735.0,"[-7309.752085554981, 3390.1740615207823, 0.0]","[-4.748037905811138, -2.627923633914406, 0.0]","[0.005572563386004044, -0.0025881571616109167, 0.0]"
25735.0,"[-7314.500123460793, 3387.546137886868, 0.0]","[-4.7424683707823245, -2.6305067020509183, 0.0]","[0.005569535028813811, -0.0025830681365125252, 0.0]"
25735.0,"[-7319.242591831575, 3384.9156311848174, 0.0]","[-4.736901858622506, -2.6330846924869524, 0.0]","[0.005566512159818363, -0.002577990436034086, 0.0]"
25735.0,"[-7323.979493690197, 3382.2825464923303, 0.0]","[-4.731338363852665, -2.635657616509346, 0.0]","[0.005563494769840911, -0.0025729240223936723, 0.0]"
25735.0,"[-7328.71083205405, 3379.646888875821, 0.0]","[-4.725777881002946, -2.6382254853673066, 0.0]","[0.005560482849719747, -0.0025678688579606444, 0.0]"
25735.0,"[-7333.436609935053, 3377.0086633904534, 0.0]","[-4.720220404612638, -2.6407883102725616, 0.0]","[0.005557476390308279, -0.0025628249052549144, 0.0]"
25735.0,"[-7338.156830339665, 3374.367875080181, 0.0]","[-4.714665929230163, -2.6433461023995077, 0.0]","[0.005554475382475068, -0.0025577921269462197, 0.0]"
25735.0,"[-7342.8714962688955, 3371.7245289777816, 0.0]","[-4.709114449413059, -2.645898872885361, 0.0]","[0.005551479817103839, -0.002552770485853383, 0.0]"
25735.0,"[-7347.580610718309, 3369.078630104896, 0.0]","[-4.703565959727966, -2.648446632830305, 0.0]","[0.005548489685093535, -0.0025477599449436066, 0.0]"
25735.0,"[-7352.284176678037, 3366.430183472066, 0.0]","[-4.6980204547506075, -2.6509893932976367, 0.0]","[0.005545504977358323, -0.0025427604673317413, 0.0]"
25735.0,"[-7356.982197132787, 3363.7791940787683, 0.0]","[-4.69247792906578, -2.6535271653139163, 0.0]","[0.0055425256848276325, -0.002537772016279581, 0.0]"
25735.0,"[-7361.674675061853, 3361.1256669134546, 0.0]","[-4.686938377267334, -2.6560599598691113, 0.0]","[0.005539551798446181, -0.0025327945551951443, 0.0]"
25735.0,"[-7366.36161343912, 3358.4696069535853, 0.0]","[-4.681401793958161, -2.658587787916743, 0.0]","[0.005536583309173993, -0.0025278280476319715, 0.0]"
25735.0,"[-7371.043015233078, 3355.8110191656688, 0.0]","[-4.675868173750175, -2.6611106603740318, 0.0]","[0.005533620207986438, -0.002522872457288424, 0.0]"
25735.0,"[-7375.718883406828, 3353.1499085052947, 0.0]","[-4.6703375112643, -2.6636285881220387, 0.0]","[0.005530662485874243, -0.0025179277480069837, 0.0]"
25735.0,"[-7380.389220918093, 3350.4862799171724, 0.0]","[-4.664809801130457, -2.666141582005812, 0.0]","[0.005527710133843525, -0.0025129938837735568, 0.0]"
25735.0,"[-7385.054030719223, 3347.8201383351666, 0.0]","[-4.659285037987542, -2.668649652834529, 0.0]","[0.005524763142915806, -0.0025080708287167812, 0.0]"
25735.0,"[-7389.713315757211, 3345.151488682332, 0.0]","[-4.653763216483414, -2.6711528113816363, 0.0]","[0.00552182150412805, -0.0025031585471073513, 0.0]"
25735.0,"[-7394.367078973694, 3342.4803358709505, 0.0]","[-4.648244331274881, -2.6736510683849937, 0.0]","[0.005518885208532669, -0.002498257003357317, 0.0]"
25735.0,"[-7399.01532330497, 3339.8066848025655, 0.0]","[-4.642728377027684, -2.676144434547013, 0.0]","[0.00551595424719755, -0.002493366162019415, 0.0]"
25735.0,"[-7403.658051681998, 3337.1305403680185, 0.0]","[-4.637215348416477, -2.6786329205347994, 0.0]","[0.005513028611206089, -0.002488485987786395, 0.0]"
25735.0,"[-7408.295267030414, 3334.451907447484, 0.0]","[-4.63170524012482, -2.68111653698029, 0.0]","[0.005510108291657185, -0.002483616445490337, 0.0]"
25735.0,"[-7412.9269722705385, 3331.7707909105034, 0.0]","[-4.626198046845155, -2.683595294480392, 0.0]","[0.005507193279665288, -0.002478757500101996, 0.0]"
25735.0,"[-7417.553170317384, 3329.087195616023, 0.0]","[-4.620693763278794, -2.686069203597122, 0.0]","[0.005504283566360402, -0.0024739091167301267, 0.0]"
25735.0,"[-7422.1738640806625, 3326.401126412426, 0.0]","[-4.615192384135906, -2.688538274857743, 0.0]","[0.005501379142888098, -0.002469071260620828, 0.0]"
25735.0,"[-7426.789056464799, 3323.712588137568, 0.0]","[-4.609693904135496, -2.6910025187549, 0.0]","[0.005498480000409555, -0.0024642438971568844, 0.0]"
25735.0,"[-7431.398750368934, 3321.0215856188133, 0.0]","[-4.604198318005395, -2.693461945746757, 0.0]","[0.005495586130101553, -0.002459426991857112, 0.0]"
25735.0,"[-7436.00294868694, 3318.328123673067, 0.0]","[-4.598705620482238, -2.6959165662571327, 0.0]","[0.0054926975231565055, -0.00245462051037571, 0.0]"
25735.0,"[-7440.601654307422, 3315.63220710681, 0.0]","[-4.593215806311456, -2.698366390675634, 0.0]","[0.005489814170782469, -0.002449824418501611, 0.0]"
25735.0,"[-7445.1948701137335, 3312.933840716134, 0.0]","[-4.587728870247252, -2.700811429357792, 0.0]","[0.005486936064203164, -0.0024450386821578437, 0.0]"
25735.0,"[-7449.782598983981, 3310.2330292867764, 0.0]","[-4.582244807052595, -2.7032516926251926, 0.0]","[0.005484063194657985, -0.002440263267400886, 0.0]"
25735.0,"[-7454.364843791034, 3307.5297775941513, 0.0]","[-4.576763611499192, -2.705687190765613, 0.0]","[0.005481195553402014, -0.0024354981404200314, 0.0]"
25735.0,"[-7458.941607402533, 3304.8240904033855, 0.0]","[-4.571285278367486, -2.7081179340331496, 0.0]","[0.005478333131706043, -0.002430743267536764, 0.0]"
25735.0,"[-7463.5128926809, 3302.1159724693525, 0.0]","[-4.56580980244663, -2.7105439326483536, 0.0]","[0.005475475920856587, -0.0024259986152041207, 0.0]"
25735.0,"[-7468.078702483347, 3299.405428536704, 0.0]","[-4.560337178534474, -2.7129651967983595, 0.0]","[0.005472623912155883, -0.002421264150006066, 0.0]"
25735.0,"[-7472.639039661882, 3296.6924633399058, 0.0]","[-4.554867401437552, -2.7153817366370165, 0.0]","[0.00546977709692192, -0.0024165398386568767, 0.0]"
25735.0,"[-7477.193907063319, 3293.9770816032687, 0.0]","[-4.549400465971064, -2.717793562285017, 0.0]","[0.005466935466488442, -0.002411825648000515, 0.0]"
25735.0,"[-7481.74330752929, 3291.259288040984, 0.0]","[-4.543936366958859, -2.720200683830027, 0.0]","[0.005464099012204964, -0.0024071215450100197, 0.0]"
25735.0,"[-7486.287243896249, 3288.5390873571537, 0.0]","[-4.538475099233422, -2.722603111326814, 0.0]","[0.005461267725436779, -0.002402427496786891, 0.0]"
25735.0,"[-7490.825718995482, 3285.816484245827, 0.0]","[-4.533016657635858, -2.7250008547973743, 0.0]","[0.005458441597564979, -0.002397743470560485, 0.0]"
25735.0,"[-7495.358735653118, 3283.091483391029, 0.0]","[-4.527561037015872, -2.7273939242310616, 0.0]","[0.005455620619986439, -0.0023930694336873996, 0.0]"
25735.0,"[-7499.886296690134, 3280.3640894667983, 0.0]","[-4.522108232231758, -2.7297823295847126, 0.0]","[0.00545280478411387, -0.002388405353650886, 0.0]"
25735.0,"[-7504.408404922366, 3277.6343071372135, 0.0]","[-4.516658238150382, -2.732166080782773, 0.0]","[0.005449994081375783, -0.0023837511980602383, 0.0]"
25735.0,"[-7508.925063160516, 3274.9021410564305, 0.0]","[-4.511211049647165, -2.734545187717423, 0.0]","[0.005447188503216529, -0.0023791069346502055, 0.0]"
25735.0,"[-7513.436274210164, 3272.1675958687133, 0.0]","[-4.505766661606069, -2.7369196602487036, 0.0]","[0.005444388041096296, -0.002374472531280395, 0.0]"
25735.0,"[-7517.94204087177, 3269.430676208465, 0.0]","[-4.500325068919578, -2.7392895082046382, 0.0]","[0.00544159268649112, -0.002369847955934685, 0.0]"
25735.0,"[-7522.442365940689, 3266.69138670026, 0.0]","[-4.494886266488685, -2.741654741381359, 0.0]","[0.005438802430892877, -0.0023652331767206373, 0.0]"
25735.0,"[-7526.937252207178, 3263.9497319588786, 0.0]","[-4.489450249222875, -2.744015369543228, 0.0]","[0.005436017265809328, -0.0023606281618689215, 0.0]"
25735.0,"[-7531.426702456401, 3261.205716589335, 0.0]","[-4.484017012040111, -2.7463714024229606, 0.0]","[0.005433237182764075, -0.0023560328797327225, 0.0]"
25735.0,"[-7535.91071946844, 3258.4593451869123, 0.0]","[-4.478586549866814, -2.748722849721748, 0.0]","[0.005430462173296619, -0.0023514472987871795, 0.0]"
25735.0,"[-7540.389306018307, 3255.7106223371907, 0.0]","[-4.473158857637852, -2.751069721109377, 0.0]","[0.00542769222896232, -0.002346871387628798, 0.0]"
25735.0,"[-7544.862464875945, 3252.9595526160815, 0.0]","[-4.46773393029652, -2.7534120262243515, 0.0]","[0.005424927341332431, -0.00234230511497489, 0.0]"
25735.0,"[-7549.330198806241, 3250.206140589857, 0.0]","[-4.462311762794526, -2.7557497746740145, 0.0]","[0.005422167501994096, -0.0023377484496630054, 0.0]"
25735.0,"[-7553.792510569036, 3247.4503908151833, 0.0]","[-4.456892350091976, -2.758082976034665, 0.0]","[0.005419412702550351, -0.002333201360650363, 0.0]"
25735.0,"[-7558.2494029191275, 3244.6923078391487, 0.0]","[-4.451475687157355, -2.7604116398516783, 0.0]","[0.005416662934620137, -0.0023286638170132968, 0.0]"
25735.0,"[-7562.700878606285, 3241.931896199297, 0.0]","[-4.446061768967517, -2.762735775639625, 0.0]","[0.0054139181898382885, -0.002324135787946691, 0.0]"
25735.0,"[-7567.146940375253, 3239.1691604236576, 0.0]","[-4.440650590507661, -2.7650553928823887, 0.0]","[0.005411178459855548, -0.0023196172427634282, 0.0]"
25735.0,"[-7571.587590965761, 3236.404105030775, 0.0]","[-4.435242146771323, -2.7673705010332825, 0.0]","[0.005408443736338572, -0.0023151081508938406, 0.0]"
25735.0,"[-7576.022833112532, 3233.6367345297417, 0.0]","[-4.429836432760353, -2.769681109515168, 0.0]","[0.005405714010969923, -0.0023106084818851538, 0.0]"
25735.0,"[-7580.452669545292, 3230.8670534202265, 0.0]","[-4.424433443484904, -2.771987227720569, 0.0]","[0.005402989275448083, -0.002306118205400952, 0.0]"
25735.0,"[-7584.877102988778, 3228.095066192506, 0.0]","[-4.419033173963417, -2.7742888650117896, 0.0]","[0.005400269521487434, -0.0023016372912206184, 0.0]"
25735.0,"[-7589.296136162741, 3225.320777327494, 0.0]","[-4.413635619222599, -2.7765860307210284, 0.0]","[0.005397554740818301, -0.002297165709238814, 0.0]"
25735.0,"[-7593.709771781964, 3222.544191296773, 0.0]","[-4.408240774297412, -2.7788787341504935, 0.0]","[0.005394844925186909, -0.0022927034294649264, 0.0]"
25735.0,"[-7598.118012556261, 3219.7653125626225, 0.0]","[-4.402848634231057, -2.781166984572516, 0.0]","[0.005392140066355396, -0.002288250422022538, 0.0]"
25735.0,"[-7602.520861190493, 3216.98414557805, 0.0]","[-4.397459194074955, -2.783450791229665, 0.0]","[0.0053894401561018395, -0.0022838066571489036, 0.0]"
25735.0,"[-7606.918320384568, 3214.2006947868203, 0.0]","[-4.392072448888735, -2.7857301633348595, 0.0]","[0.005386745186220217, -0.002279372105194406, 0.0]"
25735.0,"[-7611.310392833457, 3211.4149646234855, 0.0]","[-4.386688393740214, -2.7880051100714813, 0.0]","[0.005384055148520443, -0.002274946736622048, 0.0]"
25735.0,"[-7615.697081227197, 3208.626959513414, 0.0]","[-4.381307023705386, -2.7902756405934883, 0.0]","[0.005381370034828333, -0.0022705305220069136, 0.0]"
25735.0,"[-7620.078388250902, 3205.8366838728207, 0.0]","[-4.3759283338684005, -2.792541764025524, 0.0]","[0.0053786898369856204, -0.0022661234320356534, 0.0]"
25735.0,"[-7624.454316584771, 3203.0441421087953, 0.0]","[-4.3705523193215505, -2.79480348946303, 0.0]","[0.005376014546849976, -0.002261725437505977, 0.0]"
25735.0,"[-7628.824868904092, 3200.2493386193323, 0.0]","[-4.365178975165255, -2.797060825972356, 0.0]","[0.005373344156294962, -0.002257336509326122, 0.0]"
25735.0,"[-7633.190047879258, 3197.45227779336, 0.0]","[-4.359808296508046, -2.7993137825908705, 0.0]","[0.005370678657210062, -0.002252956618514351, 0.0]"
25735.0,"[-7637.549856175766, 3194.6529640107688, 0.0]","[-4.354440278466545, -2.801562368327069, 0.0]","[0.0053680180415006645, -0.00224858573619844, 0.0]"
25735.0,"[-7641.904296454232, 3191.8514016424415, 0.0]","[-4.349074916165457, -2.8038065921606843, 0.0]","[0.005365362301088075, -0.002244223833615177, 0.0]"
25735.0,"[-7646.253371370398, 3189.047595050281, 0.0]","[-4.343712204737548, -2.806046463042794, 0.0]","[0.005362711427909496, -0.002239870882109852, 0.0]"
25735.0,"[-7650.597083575135, 3186.241548587238, 0.0]","[-4.3383521393236295, -2.8082819898959297, 0.0]","[0.005360065413918021, -0.0022355268531357537, 0.0]"
25735.0,"[-7654.935435714458, 3183.433266597342, 0.0]","[-4.332994715072547, -2.8105131816141835, 0.0]","[0.005357424251082667, -0.0022311917182536826, 0.0]"
25735.0,"[-7659.268430429531, 3180.622753415728, 0.0]","[-4.327639927141159, -2.812740047063315, 0.0]","[0.005354787931388319, -0.002226865449131442, 0.0]"
25735.0,"[-7663.596070356672, 3177.8100133686644, 0.0]","[-4.322287770694323, -2.8149625950808583, 0.0]","[0.005352156446835762, -0.002222548017543353, 0.0]"
25735.0,"[-7667.9183581273655, 3174.9950507735834, 0.0]","[-4.316938240904881, -2.817180834476228, 0.0]","[0.005349529789441669, -0.0022182393953697607, 0.0]"
25735.0,"[-7672.235296368271, 3172.177869939107, 0.0]","[-4.311591332953642, -2.8193947740308247, 0.0]","[0.005346907951238588, -0.0022139395545965495, 0.0]"
25735.0,"[-7676.5468877012245, 3169.358475165076, 0.0]","[-4.3062470420293675, -2.8216044224981394, 0.0]","[0.005344290924274934, -0.0022096484673146486, 0.0]"
25735.0,"[-7680.853134743254, 3166.536870742578, 0.0]","[-4.300905363328752, -2.823809788603859, 0.0]","[0.0053416787006150095, -0.002205366105719563, 0.0]"
25735.0,"[-7685.154040106582, 3163.713060953974, 0.0]","[-4.295566292056413, -2.8260108810459696, 0.0]","[0.005339071272338965, -0.0022010924421108826, 0.0]"
25735.0,"[-7689.449606398639, 3160.887050072928, 0.0]","[-4.29022982342487, -2.8282077084948614, 0.0]","[0.0053364686315428185, -0.002196827448891807, 0.0]"
25735.0,"[-7693.739836222064, 3158.058842364433, 0.0]","[-4.284895952654531, -2.83040027959343, 0.0]","[0.00533387077033843, -0.0021925710985686727, 0.0]"
25735.0,"[-7698.024732174718, 3155.2284420848396, 0.0]","[-4.2795646749736775, -2.8325886029571805, 0.0]","[0.005331277680853522, -0.0021883233637504784, 0.0]"
25735.0,"[-7702.304296849692, 3152.3958534818826, 0.0]","[-4.2742359856184455, -2.834772687174329, 0.0]","[0.005328689355231629, -0.0021840842171484127, 0.0]"
25735.0,"[-7706.57853283531, 3149.5610807947082, 0.0]","[-4.268909879832814, -2.8369525408059046, 0.0]","[0.00532610578563214, -0.002179853631575392, 0.0]"
25735.0,"[-7710.847442715143, 3146.724128253902, 0.0]","[-4.263586352868583, -2.83912817238585, 0.0]","[0.005323526964230263, -0.00217563157994559, 0.0]"
25735.0,"[-7715.111029068012, 3143.8850000815164, 0.0]","[-4.258265399985366, -2.8412995904211242, 0.0]","[0.005320952883217006, -0.0021714180352739748, 0.0]"
25735.0,"[-7719.369294467997, 3141.0437004910955, 0.0]","[-4.252947016450567, -2.8434668033918, 0.0]","[0.0053183835347992104, -0.0021672129706758543, 0.0]"
25735.0,"[-7723.622241484448, 3138.2002336877035, 0.0]","[-4.247631197539367, -2.8456298197511662, 0.0]","[0.0053158189111995, -0.00216301635936641, 0.0]"
25735.0,"[-7727.8698726819875, 3135.3546038679524, 0.0]","[-4.242317938534711, -2.8477886479258263, 0.0]","[0.005313259004656301, -0.0021588281746602483, 0.0]"
25735.0,"[-7732.112190620523, 3132.5068152200265, 0.0]","[-4.237007234727288, -2.8499432963157973, 0.0]","[0.005310703807423808, -0.00215464838997094, 0.0]"
25735.0,"[-7736.34919785525, 3129.6568719237107, 0.0]","[-4.231699081415516, -2.852093773294608, 0.0]","[0.005308153311772015, -0.0021504769788105818, 0.0]"
25735.0,"[-7740.580896936665, 3126.804778150416, 0.0]","[-4.226393473905529, -2.8542400872093974, 0.0]","[0.0053056075099866635, -0.0021463139147893323, 0.0]"
25735.0,"[-7744.807290410571, 3123.9505380632067, 0.0]","[-4.221090407511159, -2.8563822463810125, 0.0]","[0.0053030663943692555, -0.002142159171614978, 0.0]"
25735.0,"[-7749.028380818082, 3121.0941558168256, 0.0]","[-4.215789877553922, -2.858520259104105, 0.0]","[0.005300529957237038, -0.0021380127230924808, 0.0]"
25735.0,"[-7753.244170695636, 3118.2356355577217, 0.0]","[-4.210491879362999, -2.860654133647228, 0.0]","[0.005297998190923009, -0.0021338745431235457, 0.0]"
25735.0,"[-7757.454662574999, 3115.3749814240746, 0.0]","[-4.2051964082752225, -2.8627838782529342, 0.0]","[0.0052954710877758686, -0.0021297446057061695, 0.0]"
25735.0,"[-7761.659858983274, 3112.5121975458214, 0.0]","[-4.199903459635062, -2.8649095011378685, 0.0]","[0.005292948640160062, -0.0021256228849342185, 0.0]"
25735.0,"[-7765.8597624429085, 3109.6472880446836, 0.0]","[-4.194613028794607, -2.8670310104928656, 0.0]","[0.005290430840455716, -0.0021215093549969777, 0.0]"
25735.0,"[-7770.054375471703, 3106.7802570341905, 0.0]","[-4.189325111113549, -2.8691484144830444, 0.0]","[0.005287917681058673, -0.002117403990178735, 0.0]"
25735.0,"[-7774.243700582816, 3103.9111086197076, 0.0]","[-4.184039701959168, -2.871261721247903, 0.0]","[0.00528540915438045, -0.0021133067648583374, 0.0]"
25735.0,"[-7778.427740284776, 3101.03984689846, 0.0]","[-4.17875679670632, -2.8733709389014117, 0.0]","[0.005282905252848239, -0.00210921765350877, 0.0]"
25735.0,"[-7782.606497081482, 3098.1664759595587, 0.0]","[-4.173476390737416, -2.8754760755321085, 0.0]","[0.005280405968904899, -0.002105136630696729, 0.0]"
25735.0,"[-7786.779973472219, 3095.2909998840264, 0.0]","[-4.168198479442407, -2.877577139203191, 0.0]","[0.005277911295008936, -0.0021010636710821966, 0.0]"
25735.0,"[-7790.948171951662, 3092.413422744823, 0.0]","[-4.162923058218772, -2.879674137952609, 0.0]","[0.005275421223634503, -0.002096998749418026, 0.0]"
25735.0,"[-7795.11109500988, 3089.5337486068706, 0.0]","[-4.157650122471501, -2.8817670797931583, 0.0]","[0.005272935747271371, -0.002092941840549512, 0.0]"
25735.0,"[-7799.268745132352, 3086.6519815270776, 0.0]","[-4.152379667613076, -2.8838559727125723, 0.0]","[0.005270454858424932, -0.0020888929194139813, 0.0]"
25735.0,"[-7803.421124799965, 3083.7681255543653, 0.0]","[-4.147111689063459, -2.8859408246736127, 0.0]","[0.005267978549616177, -0.0020848519610403744, 0.0]"
25735.0,"[-7807.568236489028, 3080.8821847296917, 0.0]","[-4.141846182250077, -2.8880216436141617, 0.0]","[0.0052655068133817, -0.00208081894054884, 0.0]"
25735.0,"[-7811.7100826712785, 3077.9941630860776, 0.0]","[-4.136583142607804, -2.890098437447312, 0.0]","[0.005263039642273657, -0.0020767938331503126, 0.0]"
25735.0,"[-7815.846665813886, 3075.1040646486304, 0.0]","[-4.131322565578944, -2.892171214061458, 0.0]","[0.005260577028859784, -0.0020727766141461143, 0.0]"
25735.0,"[-7819.9779883794645, 3072.211893434569, 0.0]","[-4.126064446613221, -2.8942399813203856, 0.0]","[0.005258118965723356, -0.0020687672589275426, 0.0]"
25735.0,"[-7824.104052826077, 3069.3176534532486, 0.0]","[-4.120808781167757, -2.896304747063361, 0.0]","[0.0052556654454632, -0.002064765742975471, 0.0]"
25735.0,"[-7828.224861607245, 3066.421348706185, 0.0]","[-4.115555564707064, -2.898365519105221, 0.0]","[0.005253216460693659, -0.0020607720418599415, 0.0]"
25735.0,"[-7832.340417171952, 3063.52298318708, 0.0]","[-4.110304792703019, -2.900422305236461, 0.0]","[0.005250772004044596, -0.0020567861312397687, 0.0]"
